seed,proposal_index,query_id,product_id,proposal_selection_rule,qrsbt_relevance_probability,qrsbt_confidence,qrsbt_support_score,base_rank,teacher_or_oracle_columns_used
263,1,10,90,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8479740248475518,0.8505067595552339,1.0,13,False
263,2,12,212,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8502473366189811,0.8009002406741106,1.0,12,False
263,3,18,82,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9292252031431312,0.8991185069020944,1.0,12,False
263,4,24,64,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9398442538436924,0.8799716544420495,1.0,15,False
263,5,36,260,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9118284418812038,0.8229668007407107,1.0,14,False
263,6,41,153,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8500108929068861,0.8896807590570173,1.0,13,False
263,7,42,90,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9749029139267378,0.9023142237228648,1.0,12,False
263,8,45,125,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9082433159204104,0.8038178967382618,1.0,11,False
269,1,3,115,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9111420285930056,0.827201376995077,1.0,14,False
269,2,5,117,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8492237002094173,0.8170672753077526,1.0,13,False
269,3,12,132,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9365706351051096,0.8750489280768489,1.0,12,False
269,4,15,303,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8740027788732307,0.8582285991051687,1.0,11,False
269,5,19,139,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9740353550718543,0.8680873892898169,1.0,11,False
269,6,29,213,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9162671246035506,0.8669975398504891,1.0,12,False
269,7,34,10,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.962639636573244,0.8996848746246108,1.0,11,False
269,8,36,172,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8495125859118653,0.8171563394711978,1.0,11,False
271,1,8,56,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8500627616115811,0.8449828581859951,1.0,14,False
271,2,15,207,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8507723274470685,0.8348035935969469,1.0,12,False
271,3,17,225,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8496887513919738,0.8390329924415592,1.0,11,False
271,4,22,54,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8977614014442779,0.8696897958910336,1.0,12,False
271,5,24,232,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8989351507954878,0.8118786625092126,1.0,11,False
271,6,25,169,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8804730406212303,0.8512819024492867,1.0,14,False
271,7,28,36,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.892077853224975,0.8176501488987744,1.0,11,False
271,8,47,255,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.963746115049711,0.8798376248550505,1.0,12,False
277,1,8,232,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9007104669732324,0.8462129097541092,1.0,11,False
277,2,17,145,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.893099915362207,0.8779605155569723,1.0,13,False
277,3,19,243,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8971875534602926,0.867312139674592,1.0,11,False
277,4,21,157,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8493199949118841,0.8021938192091518,1.0,14,False
277,5,27,219,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9746839308220738,0.8422713510812051,1.0,11,False
277,6,30,94,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8971867116553595,0.8368102250117597,1.0,14,False
277,7,32,232,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9007104669732324,0.8462129097541092,1.0,11,False
277,8,37,157,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.903466699846422,0.8402828372531587,1.0,13,False
281,1,1,1,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8503496085007926,0.8553432859271475,1.0,14,False
281,2,4,52,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9168158616840062,0.8314164512171994,1.0,13,False
281,3,16,48,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9201892391979076,0.8378791748896278,1.0,14,False
281,4,18,210,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8995742016373555,0.8014452647843485,1.0,11,False
281,5,29,269,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8667162315190832,0.8614282340515053,1.0,11,False
281,6,30,230,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9018420198536474,0.8073236894572633,1.0,15,False
281,7,36,52,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9168158616840062,0.8314164512171994,1.0,13,False
281,8,44,124,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9686287809406576,0.902656359765838,1.0,12,False
283,1,2,42,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9162298890388332,0.8984967922788812,1.0,14,False
283,2,18,42,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9162298890388332,0.8984967922788812,1.0,14,False
283,3,22,318,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9680847606669089,0.8995537048610932,1.0,11,False
283,4,25,297,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9051072694444328,0.8408739758501045,1.0,13,False
283,5,28,300,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9079426623635912,0.8352618098725005,1.0,11,False
283,6,34,42,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8495154766790649,0.8628947354946138,1.0,12,False
283,7,40,264,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9587422624277784,0.8645754011565217,1.0,14,False
283,8,45,13,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8502292961920419,0.8170426675244993,1.0,14,False
293,1,0,8,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8502652665169875,0.8163194437342197,1.0,13,False
293,2,3,227,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.914834651377426,0.8341151680207924,1.0,14,False
293,3,4,100,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.96610149406628,0.8945424831532761,1.0,12,False
293,4,12,116,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.91325937033098,0.8728080679699335,1.0,14,False
293,5,21,213,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.913838969099894,0.8343444640298514,1.0,13,False
293,6,22,30,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9138839599904712,0.847032616959805,1.0,12,False
293,7,32,104,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9568673544298096,0.8691067110040182,1.0,12,False
293,8,36,28,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9638135643170802,0.8973007858889983,1.0,11,False
307,1,0,24,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8488351265980664,0.8188277843313312,1.0,15,False
307,2,12,100,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9003397865567667,0.8166159686458564,1.0,14,False
307,3,19,267,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9786301446177342,0.8967639163669754,1.0,11,False
307,4,22,182,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9330698522423092,0.8672239129617155,1.0,13,False
307,5,24,40,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.931754360337848,0.8766129784981842,1.0,13,False
307,6,27,155,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9233969106776044,0.8595909341729077,1.0,15,False
307,7,34,18,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.925732863311226,0.8443120504523515,1.0,12,False
307,8,37,309,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9259584708512836,0.8634245249243743,1.0,13,False
311,1,4,236,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.97424451415812,0.8428420647455866,1.0,12,False
311,2,6,102,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8947243534029355,0.8891369606503563,1.0,11,False
311,3,19,51,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.849526300163567,0.8769858745029345,1.0,13,False
311,4,25,305,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8492635554906074,0.8108930923863482,1.0,11,False
311,5,35,155,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8954891536018843,0.8259547170242965,1.0,15,False
311,6,37,77,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9001479300281491,0.8305138508294707,1.0,15,False
311,7,40,128,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9064612432227168,0.8170790545969971,1.0,15,False
311,8,41,65,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8752266150454141,0.8365894203318611,1.0,13,False
313,1,2,202,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9616017383241692,0.8451715284917682,1.0,12,False
313,2,15,39,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8983790530138736,0.8515102430582133,1.0,13,False
313,3,16,304,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9077801351942092,0.8251339042624671,1.0,13,False
313,4,17,65,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8492154533844379,0.8232904759128603,1.0,11,False
313,5,31,39,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8983790530138736,0.8515102430582133,1.0,13,False
313,6,37,277,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9047666456249358,0.8249774942566332,1.0,15,False
313,7,38,318,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9186623333960134,0.8354469366281558,1.0,13,False
313,8,41,225,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9208081664031862,0.8434073556714916,1.0,15,False
317,1,3,67,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8500239670611998,0.8019951154025334,1.0,12,False
317,2,7,247,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8959964225918715,0.8299262991870101,1.0,11,False
317,3,8,144,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8896222610908113,0.8559787404625294,1.0,14,False
317,4,19,67,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9390916996487894,0.888831124778113,1.0,15,False
317,5,28,300,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8931286234851312,0.8304998466268929,1.0,14,False
317,6,29,61,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9051109111555437,0.8511892108674428,1.0,14,False
317,7,35,219,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8653533647347262,0.8250812553547777,1.0,15,False
317,8,46,230,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9035927017679976,0.8539075431864613,1.0,14,False
331,1,7,7,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9196370298775646,0.8480203282903557,1.0,15,False
331,2,12,284,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8988385827986394,0.8051055267044892,1.0,15,False
331,3,16,104,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.922556395460646,0.8575841477754527,1.0,15,False
331,4,25,89,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9016305778574316,0.8270719762214703,1.0,12,False
331,5,27,27,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9348089462540934,0.8622576130244206,1.0,11,False
331,6,30,174,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9058015861493708,0.8264301021221594,1.0,12,False
331,7,35,147,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.97204269469412,0.9176910575324466,1.0,13,False
331,8,37,261,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8492788203847692,0.8198527732163392,1.0,12,False
337,1,2,34,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8493889620115657,0.8148672456854348,1.0,15,False
337,2,16,72,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9234261376844496,0.8512222653237489,1.0,12,False
337,3,17,161,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9715275543618818,0.8735914205641693,1.0,13,False
337,4,25,161,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8486877456927396,0.8116390110916867,1.0,12,False
337,5,27,235,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9086334496981716,0.8138289778406675,1.0,14,False
337,6,30,30,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9176265704150872,0.8326811917423376,1.0,14,False
337,7,34,34,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8832164618202764,0.820794046321872,1.0,14,False
337,8,45,269,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.905131430136205,0.8172406765079651,1.0,12,False
347,1,21,229,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8504997782949348,0.8178318019211626,1.0,11,False
347,2,23,263,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8975394788683573,0.8407757959360127,1.0,14,False
347,3,24,168,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.992127140591802,0.8985924385254218,1.0,12,False
347,4,28,52,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9299889848648376,0.8389204139755836,1.0,11,False
347,5,37,213,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9047538685467982,0.8717083593680114,1.0,15,False
347,6,38,62,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8493920059934176,0.8329234634955089,1.0,15,False
347,7,40,312,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9377655573332654,0.8605731104012764,1.0,12,False
347,8,42,34,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8933101071254061,0.8115361386280026,1.0,15,False
349,1,2,98,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8995601529938829,0.8491284394772722,1.0,12,False
349,2,7,295,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8630469820266948,0.8064153718732917,1.0,11,False
349,3,9,313,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8501921397766037,0.8169528305123703,1.0,13,False
349,4,20,124,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9254767563328918,0.8538215981215485,1.0,12,False
349,5,22,174,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8681963074373357,0.8344458847613674,1.0,14,False
349,6,24,136,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.849100539036821,0.8069163955984414,1.0,11,False
349,7,35,107,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9199004589408496,0.8083596629746101,1.0,11,False
349,8,41,273,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.97553936874652,0.9008589880218584,1.0,13,False
353,1,8,176,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9318170765965066,0.863596271912736,1.0,13,False
353,2,19,243,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.961800244585229,0.8566051984541219,1.0,12,False
353,3,21,293,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9249314293299938,0.8423822256265296,1.0,11,False
353,4,26,18,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8499902731652457,0.8253182837705296,1.0,13,False
353,5,27,43,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8607873219005135,0.887154621273889,1.0,12,False
353,6,31,247,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8475445769096793,0.8246471710936076,1.0,15,False
353,7,39,303,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9246123099908414,0.8651566301546979,1.0,12,False
353,8,42,18,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9115855009798052,0.8502518484935458,1.0,13,False
359,1,0,32,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9653834865999884,0.8528650648910653,1.0,11,False
359,2,9,225,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9250752427477332,0.881419523333678,1.0,13,False
359,3,27,155,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8503666415020521,0.8124181304795606,1.0,11,False
359,4,30,294,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9040372481628312,0.8319274604526357,1.0,15,False
359,5,31,135,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.922879056184456,0.8980698896439931,1.0,11,False
359,6,34,210,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9074323571069808,0.8080161205767338,1.0,15,False
359,7,36,196,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9522766795247468,0.8982486295197315,1.0,13,False
359,8,46,270,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8494979427856808,0.8006917228403997,1.0,11,False
367,1,0,88,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9181461121539704,0.8515972296302805,1.0,13,False
367,2,4,164,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9083504389664576,0.8804475877640415,1.0,13,False
367,3,16,32,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8495803973865467,0.8069127844780116,1.0,14,False
367,4,18,114,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9106535235201386,0.8445614351641355,1.0,11,False
367,5,21,317,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8498647886898969,0.8085760909772493,1.0,11,False
367,6,27,67,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.8915676092286574,0.8140926808995299,1.0,14,False
367,7,32,112,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9475736992331892,0.8682679028605502,1.0,14,False
367,8,33,97,"query-local runtime-safe candidate with highest qrsbt_relevance_probability, then qrsbt_confidence, qrsbt_support_score, base_rank, product_id",0.9360227033921676,0.8985199245403118,1.0,12,False
