seed,path,sha256,row_count,query_count,numeric_whitelist_available,categorical_whitelist_available,forbidden_columns_present_but_excluded
263,C:\p9b\p9-category-intent-state-candidate-20260630T040226\artifacts\_validation\v5-final-training-action-effect-corpus-retry-20260701T005116Z\seed-263\smoke\ranked_test.csv,cb351c1cef3e8104fdfe8b7a2d08f419d2fef50fc07b2be0752eb0c6b9dd62ca,2916,48,base_score|base_rank|bm25_score|dense_score|retrieval_score|semantic_rank_score|semantic_component|qrsbt_relevance_probability|qrsbt_confidence|qrsbt_support_score|qrsbt_dispersion|qrsbt_support|qrsbt_compatibility|qrsbt_irrelevant_probability|price|price_log|quality|attribute_compatible|zero_history|sparse_history,candidate_source|category|query_category|query_intent|relation|qrsbt_transfer_source,behavior_velocity|clicked|final_score|first_observed_age|gate_action|gate_reason|judged|logging_propensity|position|prior_clicks|prior_impressions|prior_purchases|purchased|qrsbt_boost|relevance|smoothed_ctr|smoothed_purchase_rate|time_block|user_id
269,C:\p9b\p9-category-intent-state-candidate-20260630T040226\artifacts\_validation\v5-final-training-action-effect-corpus-retry-20260701T005116Z\seed-269\smoke\ranked_test.csv,20b330b698da15e1c5da9f81b2011a3dc642eda68b1bb1cc83ac866f729459de,2927,48,base_score|base_rank|bm25_score|dense_score|retrieval_score|semantic_rank_score|semantic_component|qrsbt_relevance_probability|qrsbt_confidence|qrsbt_support_score|qrsbt_dispersion|qrsbt_support|qrsbt_compatibility|qrsbt_irrelevant_probability|price|price_log|quality|attribute_compatible|zero_history|sparse_history,candidate_source|category|query_category|query_intent|relation|qrsbt_transfer_source,behavior_velocity|clicked|final_score|first_observed_age|gate_action|gate_reason|judged|logging_propensity|position|prior_clicks|prior_impressions|prior_purchases|purchased|qrsbt_boost|relevance|smoothed_ctr|smoothed_purchase_rate|time_block|user_id
271,C:\p9b\p9-category-intent-state-candidate-20260630T040226\artifacts\_validation\v5-final-training-action-effect-corpus-retry-20260701T005116Z\seed-271\smoke\ranked_test.csv,42915583dae4171093abad2a8b010ad1348794b9744a4123d845f663ff81fc09,2871,48,base_score|base_rank|bm25_score|dense_score|retrieval_score|semantic_rank_score|semantic_component|qrsbt_relevance_probability|qrsbt_confidence|qrsbt_support_score|qrsbt_dispersion|qrsbt_support|qrsbt_compatibility|qrsbt_irrelevant_probability|price|price_log|quality|attribute_compatible|zero_history|sparse_history,candidate_source|category|query_category|query_intent|relation|qrsbt_transfer_source,behavior_velocity|clicked|final_score|first_observed_age|gate_action|gate_reason|judged|logging_propensity|position|prior_clicks|prior_impressions|prior_purchases|purchased|qrsbt_boost|relevance|smoothed_ctr|smoothed_purchase_rate|time_block|user_id
277,C:\p9b\p9-category-intent-state-candidate-20260630T040226\artifacts\_validation\v5-final-training-action-effect-corpus-retry-20260701T005116Z\seed-277\smoke\ranked_test.csv,9a2e986e336946610d704ef8db846af13999b09def729bdd6a35027c7f555aba,2907,48,base_score|base_rank|bm25_score|dense_score|retrieval_score|semantic_rank_score|semantic_component|qrsbt_relevance_probability|qrsbt_confidence|qrsbt_support_score|qrsbt_dispersion|qrsbt_support|qrsbt_compatibility|qrsbt_irrelevant_probability|price|price_log|quality|attribute_compatible|zero_history|sparse_history,candidate_source|category|query_category|query_intent|relation|qrsbt_transfer_source,behavior_velocity|clicked|final_score|first_observed_age|gate_action|gate_reason|judged|logging_propensity|position|prior_clicks|prior_impressions|prior_purchases|purchased|qrsbt_boost|relevance|smoothed_ctr|smoothed_purchase_rate|time_block|user_id
281,C:\p9b\p9-category-intent-state-candidate-20260630T040226\artifacts\_validation\v5-final-training-action-effect-corpus-retry-20260701T005116Z\seed-281\smoke\ranked_test.csv,1ffa64f50c3dfb4ce0e1e17ad30df62b75ceeb619535beb5456e7d0f01a996cc,2834,48,base_score|base_rank|bm25_score|dense_score|retrieval_score|semantic_rank_score|semantic_component|qrsbt_relevance_probability|qrsbt_confidence|qrsbt_support_score|qrsbt_dispersion|qrsbt_support|qrsbt_compatibility|qrsbt_irrelevant_probability|price|price_log|quality|attribute_compatible|zero_history|sparse_history,candidate_source|category|query_category|query_intent|relation|qrsbt_transfer_source,behavior_velocity|clicked|final_score|first_observed_age|gate_action|gate_reason|judged|logging_propensity|position|prior_clicks|prior_impressions|prior_purchases|purchased|qrsbt_boost|relevance|smoothed_ctr|smoothed_purchase_rate|time_block|user_id
283,C:\p9b\p9-category-intent-state-candidate-20260630T040226\artifacts\_validation\v5-final-training-action-effect-corpus-retry-20260701T005116Z\seed-283\smoke\ranked_test.csv,aafadca1b21b3bc8d7d17e6b374a167eba38576d27032f25fff998ee18c502ec,2864,48,base_score|base_rank|bm25_score|dense_score|retrieval_score|semantic_rank_score|semantic_component|qrsbt_relevance_probability|qrsbt_confidence|qrsbt_support_score|qrsbt_dispersion|qrsbt_support|qrsbt_compatibility|qrsbt_irrelevant_probability|price|price_log|quality|attribute_compatible|zero_history|sparse_history,candidate_source|category|query_category|query_intent|relation|qrsbt_transfer_source,behavior_velocity|clicked|final_score|first_observed_age|gate_action|gate_reason|judged|logging_propensity|position|prior_clicks|prior_impressions|prior_purchases|purchased|qrsbt_boost|relevance|smoothed_ctr|smoothed_purchase_rate|time_block|user_id
293,C:\p9b\p9-category-intent-state-candidate-20260630T040226\artifacts\_validation\v5-final-training-action-effect-corpus-retry-20260701T005116Z\seed-293\smoke\ranked_test.csv,c9b953351c90ddb54c8e0b1d34f89beea2d1e0c62205a377577fdb10a4f3b0eb,2854,48,base_score|base_rank|bm25_score|dense_score|retrieval_score|semantic_rank_score|semantic_component|qrsbt_relevance_probability|qrsbt_confidence|qrsbt_support_score|qrsbt_dispersion|qrsbt_support|qrsbt_compatibility|qrsbt_irrelevant_probability|price|price_log|quality|attribute_compatible|zero_history|sparse_history,candidate_source|category|query_category|query_intent|relation|qrsbt_transfer_source,behavior_velocity|clicked|final_score|first_observed_age|gate_action|gate_reason|judged|logging_propensity|position|prior_clicks|prior_impressions|prior_purchases|purchased|qrsbt_boost|relevance|smoothed_ctr|smoothed_purchase_rate|time_block|user_id
307,C:\p9b\p9-category-intent-state-candidate-20260630T040226\artifacts\_validation\v5-final-training-action-effect-corpus-retry-20260701T005116Z\seed-307\smoke\ranked_test.csv,a5249572ca8149615e8f7941d0ab460b6a28278c0397e09221f3a9c933b34c68,2869,48,base_score|base_rank|bm25_score|dense_score|retrieval_score|semantic_rank_score|semantic_component|qrsbt_relevance_probability|qrsbt_confidence|qrsbt_support_score|qrsbt_dispersion|qrsbt_support|qrsbt_compatibility|qrsbt_irrelevant_probability|price|price_log|quality|attribute_compatible|zero_history|sparse_history,candidate_source|category|query_category|query_intent|relation|qrsbt_transfer_source,behavior_velocity|clicked|final_score|first_observed_age|gate_action|gate_reason|judged|logging_propensity|position|prior_clicks|prior_impressions|prior_purchases|purchased|qrsbt_boost|relevance|smoothed_ctr|smoothed_purchase_rate|time_block|user_id
311,C:\p9b\p9-category-intent-state-candidate-20260630T040226\artifacts\_validation\v5-final-training-action-effect-corpus-retry-20260701T005116Z\seed-311\smoke\ranked_test.csv,443f56b328933ff4046dfb35bfb0e841ad365ce7ee764330ef94f6f6ad5f6b6e,2888,48,base_score|base_rank|bm25_score|dense_score|retrieval_score|semantic_rank_score|semantic_component|qrsbt_relevance_probability|qrsbt_confidence|qrsbt_support_score|qrsbt_dispersion|qrsbt_support|qrsbt_compatibility|qrsbt_irrelevant_probability|price|price_log|quality|attribute_compatible|zero_history|sparse_history,candidate_source|category|query_category|query_intent|relation|qrsbt_transfer_source,behavior_velocity|clicked|final_score|first_observed_age|gate_action|gate_reason|judged|logging_propensity|position|prior_clicks|prior_impressions|prior_purchases|purchased|qrsbt_boost|relevance|smoothed_ctr|smoothed_purchase_rate|time_block|user_id
313,C:\p9b\p9-category-intent-state-candidate-20260630T040226\artifacts\_validation\v5-final-training-action-effect-corpus-retry-20260701T005116Z\seed-313\smoke\ranked_test.csv,13ee29ec033984a052bce511efe9bea9ce952aff20e20824f48edb83ccee1ec6,2894,48,base_score|base_rank|bm25_score|dense_score|retrieval_score|semantic_rank_score|semantic_component|qrsbt_relevance_probability|qrsbt_confidence|qrsbt_support_score|qrsbt_dispersion|qrsbt_support|qrsbt_compatibility|qrsbt_irrelevant_probability|price|price_log|quality|attribute_compatible|zero_history|sparse_history,candidate_source|category|query_category|query_intent|relation|qrsbt_transfer_source,behavior_velocity|clicked|final_score|first_observed_age|gate_action|gate_reason|judged|logging_propensity|position|prior_clicks|prior_impressions|prior_purchases|purchased|qrsbt_boost|relevance|smoothed_ctr|smoothed_purchase_rate|time_block|user_id
317,C:\p9b\p9-category-intent-state-candidate-20260630T040226\artifacts\_validation\v5-final-training-action-effect-corpus-retry-20260701T005116Z\seed-317\smoke\ranked_test.csv,1ecec30e62bf6d078ee37f340a7e65f726103c33d63c539fc48518b0c406ad17,2921,48,base_score|base_rank|bm25_score|dense_score|retrieval_score|semantic_rank_score|semantic_component|qrsbt_relevance_probability|qrsbt_confidence|qrsbt_support_score|qrsbt_dispersion|qrsbt_support|qrsbt_compatibility|qrsbt_irrelevant_probability|price|price_log|quality|attribute_compatible|zero_history|sparse_history,candidate_source|category|query_category|query_intent|relation|qrsbt_transfer_source,behavior_velocity|clicked|final_score|first_observed_age|gate_action|gate_reason|judged|logging_propensity|position|prior_clicks|prior_impressions|prior_purchases|purchased|qrsbt_boost|relevance|smoothed_ctr|smoothed_purchase_rate|time_block|user_id
331,C:\p9b\p9-category-intent-state-candidate-20260630T040226\artifacts\_validation\v5-final-training-action-effect-corpus-retry-20260701T005116Z\seed-331\smoke\ranked_test.csv,61517714cce9e8f50269f30d32bf1f3bed427dfc7da64a779b1d02038ecf5b7b,2870,48,base_score|base_rank|bm25_score|dense_score|retrieval_score|semantic_rank_score|semantic_component|qrsbt_relevance_probability|qrsbt_confidence|qrsbt_support_score|qrsbt_dispersion|qrsbt_support|qrsbt_compatibility|qrsbt_irrelevant_probability|price|price_log|quality|attribute_compatible|zero_history|sparse_history,candidate_source|category|query_category|query_intent|relation|qrsbt_transfer_source,behavior_velocity|clicked|final_score|first_observed_age|gate_action|gate_reason|judged|logging_propensity|position|prior_clicks|prior_impressions|prior_purchases|purchased|qrsbt_boost|relevance|smoothed_ctr|smoothed_purchase_rate|time_block|user_id
337,C:\p9b\p9-category-intent-state-candidate-20260630T040226\artifacts\_validation\v5-final-training-action-effect-corpus-retry-20260701T005116Z\seed-337\smoke\ranked_test.csv,c731857f90d1104bd640c01ae5dc62d75d789fda348f932fe4546924799e1c6c,2886,48,base_score|base_rank|bm25_score|dense_score|retrieval_score|semantic_rank_score|semantic_component|qrsbt_relevance_probability|qrsbt_confidence|qrsbt_support_score|qrsbt_dispersion|qrsbt_support|qrsbt_compatibility|qrsbt_irrelevant_probability|price|price_log|quality|attribute_compatible|zero_history|sparse_history,candidate_source|category|query_category|query_intent|relation|qrsbt_transfer_source,behavior_velocity|clicked|final_score|first_observed_age|gate_action|gate_reason|judged|logging_propensity|position|prior_clicks|prior_impressions|prior_purchases|purchased|qrsbt_boost|relevance|smoothed_ctr|smoothed_purchase_rate|time_block|user_id
347,C:\p9b\p9-category-intent-state-candidate-20260630T040226\artifacts\_validation\v5-final-training-action-effect-corpus-retry-20260701T005116Z\seed-347\smoke\ranked_test.csv,aa4f2bc2d223532b8e9b09be2d48f2f7956b717226f95f05d21382a70e76d1fa,2870,48,base_score|base_rank|bm25_score|dense_score|retrieval_score|semantic_rank_score|semantic_component|qrsbt_relevance_probability|qrsbt_confidence|qrsbt_support_score|qrsbt_dispersion|qrsbt_support|qrsbt_compatibility|qrsbt_irrelevant_probability|price|price_log|quality|attribute_compatible|zero_history|sparse_history,candidate_source|category|query_category|query_intent|relation|qrsbt_transfer_source,behavior_velocity|clicked|final_score|first_observed_age|gate_action|gate_reason|judged|logging_propensity|position|prior_clicks|prior_impressions|prior_purchases|purchased|qrsbt_boost|relevance|smoothed_ctr|smoothed_purchase_rate|time_block|user_id
349,C:\p9b\p9-category-intent-state-candidate-20260630T040226\artifacts\_validation\v5-final-training-action-effect-corpus-retry-20260701T005116Z\seed-349\smoke\ranked_test.csv,52a60add4b7c4d17c3a6d1ae99de47b524c50f9cfbfbe742cc91af7d02d24f94,2831,48,base_score|base_rank|bm25_score|dense_score|retrieval_score|semantic_rank_score|semantic_component|qrsbt_relevance_probability|qrsbt_confidence|qrsbt_support_score|qrsbt_dispersion|qrsbt_support|qrsbt_compatibility|qrsbt_irrelevant_probability|price|price_log|quality|attribute_compatible|zero_history|sparse_history,candidate_source|category|query_category|query_intent|relation|qrsbt_transfer_source,behavior_velocity|clicked|final_score|first_observed_age|gate_action|gate_reason|judged|logging_propensity|position|prior_clicks|prior_impressions|prior_purchases|purchased|qrsbt_boost|relevance|smoothed_ctr|smoothed_purchase_rate|time_block|user_id
353,C:\p9b\p9-category-intent-state-candidate-20260630T040226\artifacts\_validation\v5-final-training-action-effect-corpus-retry-20260701T005116Z\seed-353\smoke\ranked_test.csv,e9c01cbb6937409ee373d3c7df0825babbcffae8ad10b1f73c98fdb829335b21,2901,48,base_score|base_rank|bm25_score|dense_score|retrieval_score|semantic_rank_score|semantic_component|qrsbt_relevance_probability|qrsbt_confidence|qrsbt_support_score|qrsbt_dispersion|qrsbt_support|qrsbt_compatibility|qrsbt_irrelevant_probability|price|price_log|quality|attribute_compatible|zero_history|sparse_history,candidate_source|category|query_category|query_intent|relation|qrsbt_transfer_source,behavior_velocity|clicked|final_score|first_observed_age|gate_action|gate_reason|judged|logging_propensity|position|prior_clicks|prior_impressions|prior_purchases|purchased|qrsbt_boost|relevance|smoothed_ctr|smoothed_purchase_rate|time_block|user_id
359,C:\p9b\p9-category-intent-state-candidate-20260630T040226\artifacts\_validation\v5-final-training-action-effect-corpus-retry-20260701T005116Z\seed-359\smoke\ranked_test.csv,7d2fee949beacf8a06dd8654000d4d5adee894332e8c5ac641bac277dbde8656,2907,48,base_score|base_rank|bm25_score|dense_score|retrieval_score|semantic_rank_score|semantic_component|qrsbt_relevance_probability|qrsbt_confidence|qrsbt_support_score|qrsbt_dispersion|qrsbt_support|qrsbt_compatibility|qrsbt_irrelevant_probability|price|price_log|quality|attribute_compatible|zero_history|sparse_history,candidate_source|category|query_category|query_intent|relation|qrsbt_transfer_source,behavior_velocity|clicked|final_score|first_observed_age|gate_action|gate_reason|judged|logging_propensity|position|prior_clicks|prior_impressions|prior_purchases|purchased|qrsbt_boost|relevance|smoothed_ctr|smoothed_purchase_rate|time_block|user_id
367,C:\p9b\p9-category-intent-state-candidate-20260630T040226\artifacts\_validation\v5-final-training-action-effect-corpus-retry-20260701T005116Z\seed-367\smoke\ranked_test.csv,aa3e6b7ae4c33724202bcfca607cca1f79da007b7d3d1a105be152a68b890904,2889,48,base_score|base_rank|bm25_score|dense_score|retrieval_score|semantic_rank_score|semantic_component|qrsbt_relevance_probability|qrsbt_confidence|qrsbt_support_score|qrsbt_dispersion|qrsbt_support|qrsbt_compatibility|qrsbt_irrelevant_probability|price|price_log|quality|attribute_compatible|zero_history|sparse_history,candidate_source|category|query_category|query_intent|relation|qrsbt_transfer_source,behavior_velocity|clicked|final_score|first_observed_age|gate_action|gate_reason|judged|logging_propensity|position|prior_clicks|prior_impressions|prior_purchases|purchased|qrsbt_boost|relevance|smoothed_ctr|smoothed_purchase_rate|time_block|user_id
