seed,context_count_baseline,selected_mean_utility_baseline,selected_relevant_discovery_baseline,selected_irrelevant_exposure_baseline,selected_false_warmup_baseline,selected_worst_utility_baseline,selected_p10_utility_baseline,mean_utility_regret_baseline,oracle_action_hit_rate_baseline,strict_safe_improving_rate_baseline,core_safe_improving_rate_baseline,context_count_model,selected_mean_utility_model,selected_relevant_discovery_model,selected_irrelevant_exposure_model,selected_false_warmup_model,selected_worst_utility_model,selected_p10_utility_model,mean_utility_regret_model,oracle_action_hit_rate_model,strict_safe_improving_rate_model,core_safe_improving_rate_model,selected_mean_utility_delta_model_minus_baseline,selected_relevant_discovery_delta_model_minus_baseline,selected_irrelevant_exposure_delta_model_minus_baseline,selected_false_warmup_delta_model_minus_baseline,selected_worst_utility_delta_model_minus_baseline,selected_p10_utility_delta_model_minus_baseline,mean_utility_regret_delta_model_minus_baseline,oracle_action_hit_rate_delta_model_minus_baseline,strict_safe_improving_rate_delta_model_minus_baseline,core_safe_improving_rate_delta_model_minus_baseline
263,8,2.193333333333335,6.675000000000068,0.975000000000037,-0.04999999999999982,-0.2849999999999973,-4.32999999999999,0.40666666666666706,0.5,0.0,0.0,8,2.193333333333335,6.675000000000068,0.975000000000037,-0.04999999999999982,-0.2849999999999973,-4.32999999999999,0.40666666666666706,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,8,1.096666666666667,2.550000000000125,-4.450000000000017,0.07499999999999991,-0.8899999999999978,-4.495000000000007,0.5383333333333339,0.25,0.0,0.375,8,1.096666666666667,2.550000000000125,-4.450000000000017,0.07499999999999991,-0.8899999999999978,-4.495000000000007,0.5383333333333339,0.25,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,8,3.2850000000000015,9.549999999999926,-1.0249999999999488,-0.049999999999999996,0.4099999999999952,-2.900000000000008,0.28166666666666484,0.625,0.0,0.25,8,3.2850000000000015,9.549999999999926,-1.0249999999999488,-0.049999999999999996,0.4099999999999952,-2.900000000000008,0.28166666666666484,0.625,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
277,8,2.4399999999999986,7.1749999999999545,0.025000000000005677,-0.07499999999999998,0.4099999999999995,-4.329999999999998,0.7366666666666665,0.375,0.0,0.25,8,2.3649999999999984,6.94999999999996,0.025000000000005677,-0.07499999999999998,0.275,-4.504999999999998,0.8116666666666664,0.25,0.0,0.25,-0.07500000000000018,-0.22499999999999432,0.0,0.0,-0.13499999999999945,-0.17499999999999982,0.07499999999999996,-0.125,0.0,0.0
281,8,2.4050000000000025,7.375000000000028,0.2999999999998977,0.050000000000000024,0.05500000000000027,-3.3250000000000024,0.7366666666666661,0.375,0.0,0.0,8,2.4050000000000025,7.375000000000028,0.2999999999998977,0.050000000000000024,0.05500000000000027,-3.3250000000000024,0.7366666666666661,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,8,3.256666666666667,9.699999999999903,-0.35000000000002274,0.0,1.515,-3.3999999999999955,0.12,0.625,0.0,0.375,8,3.256666666666667,9.699999999999903,-0.35000000000002274,0.0,1.515,-3.3999999999999955,0.12,0.625,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,8,1.5066666666666664,4.349999999999994,0.8999999999999488,-0.17499999999999988,-0.045000000000000304,-3.2649999999999992,0.5449999999999996,0.0,0.0,0.25,8,1.5066666666666664,4.349999999999994,0.8999999999999488,-0.17499999999999988,-0.045000000000000304,-3.2649999999999992,0.5449999999999996,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307,8,1.6249999999999978,4.950000000000102,1.625,-0.12500000000000003,-0.7750000000000029,-4.699999999999998,0.5433333333333356,0.25,0.0,0.0,8,1.3249999999999975,4.075000000000102,1.75,-0.12500000000000003,-0.9800000000000026,-4.795,0.8433333333333356,0.25,0.0,0.0,-0.30000000000000027,-0.875,0.125,0.0,-0.20499999999999974,-0.09500000000000153,0.30000000000000004,0.0,0.0,0.0
311,8,1.6066666666666631,5.025000000000119,-0.474999999999966,0.15,-0.40000000000000074,-4.945000000000002,0.5650000000000002,0.375,0.0,0.125,8,1.6066666666666631,5.025000000000119,-0.474999999999966,0.15,-0.40000000000000074,-4.945000000000002,0.5650000000000002,0.375,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
313,8,1.6816666666666662,5.07499999999996,-0.600000000000108,0.07499999999999996,-0.3650000000000024,-3.1900000000000053,0.5483333333333329,0.375,0.0,0.0,8,1.6316666666666664,4.9249999999999545,-0.600000000000108,0.07499999999999996,-0.29000000000000203,-3.175000000000002,0.5983333333333326,0.25,0.0,0.0,-0.04999999999999982,-0.15000000000000568,0.0,0.0,0.07500000000000034,0.015000000000003233,0.04999999999999971,-0.125,0.0,0.0
317,8,2.1149999999999984,6.449999999999989,0.02499999999989206,0.04999999999999983,-0.3600000000000052,-4.489999999999999,0.6250000000000001,0.125,0.0,0.125,8,2.1149999999999984,6.449999999999989,0.02499999999989206,0.04999999999999983,-0.3600000000000052,-4.489999999999999,0.6250000000000001,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331,8,2.649999999999999,7.600000000000108,-1.2499999999999432,-0.049999999999999975,0.5049999999999983,-3.2050000000000067,0.5950000000000009,0.25,0.125,0.375,8,2.649999999999999,7.600000000000108,-1.2499999999999432,-0.049999999999999975,0.5049999999999983,-3.2050000000000067,0.5950000000000009,0.25,0.125,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
337,8,1.5966666666666682,4.97500000000008,1.174999999999983,-0.024999999999999953,-0.9799999999999986,-5.674999999999996,0.5883333333333326,0.375,0.0,0.125,8,1.5966666666666682,4.97500000000008,1.174999999999983,-0.024999999999999953,-0.9799999999999986,-5.674999999999996,0.5883333333333326,0.375,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
347,8,2.578333333333335,7.699999999999875,-1.1750000000000256,0.09999999999999988,-0.3149999999999998,-3.4899999999999958,0.4883333333333333,0.375,0.0,0.125,8,2.566666666666669,7.699999999999875,-1.2500000000000284,0.12499999999999985,-0.3099999999999973,-3.5999999999999956,0.4999999999999988,0.375,0.0,0.125,-0.011666666666665826,0.0,-0.07500000000000284,0.024999999999999967,0.0050000000000025024,-0.10999999999999988,0.011666666666665493,0.0,0.0,0.0
349,8,2.143333333333327,6.0250000000000625,-3.5249999999999204,0.14999999999999986,-0.030000000000001137,-4.0000000000000036,0.59,0.375,0.0,0.125,8,2.143333333333327,6.0250000000000625,-3.5249999999999204,0.14999999999999986,-0.030000000000001137,-4.0000000000000036,0.59,0.375,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
353,8,2.1616666666666706,5.500000000000114,-4.175000000000054,-0.07500000000000004,0.6800000000000018,-2.234999999999989,0.43333333333333307,0.375,0.125,0.375,8,2.1616666666666706,5.500000000000114,-4.175000000000054,-0.07500000000000004,0.6800000000000018,-2.234999999999989,0.43333333333333307,0.375,0.125,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
359,8,2.278333333333333,6.450000000000102,-2.174999999999997,0.025000000000000133,0.07500000000000134,-3.200000000000002,0.2533333333333316,0.625,0.0,0.0,8,2.278333333333333,6.450000000000102,-2.174999999999997,0.025000000000000133,0.07500000000000134,-3.200000000000002,0.2533333333333316,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
367,8,3.0100000000000007,8.999999999999915,-0.40000000000009095,0.024999999999999866,1.3800000000000034,-3.0800000000000045,0.6216666666666664,0.5,0.0,0.125,8,3.0100000000000007,8.999999999999915,-0.40000000000009095,0.024999999999999866,1.3800000000000034,-3.0800000000000045,0.6216666666666664,0.5,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
